source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2024,18361,1,435,15,Christina Dalce,2,42,Amari DeBerry,JUMPER,2,6.0,5.0,42 Amari DeBerry JUMPER GOOD (2 Pt); 15 Christina Dalce Assist (2 Asst)
2024,18361,1,74,03,Emily Fisher,1,02,Kaylene Smikle,3PTR,5,16.0,11.0,02 Kaylene Smikle 3PTR GOOD (5 Pt); 03 Emily Fisher Assist (1 Asst)
2024,18361,1,29,01,Sarah Te-Biasu,1,03,Emily Fisher,LAYUP,2,18.0,11.0,03 Emily Fisher LAYUP GOOD (2 Pt); 01 Sarah Te-Biasu Assist (1 Asst)
2024,18361,3,543,15,Christina Dalce,3,06,Saylor Poffenbarger,LAYUP,4,34.0,33.0,06 Saylor Poffenbarger LAYUP GOOD (4 Pt); 15 Christina Dalce Assist (3 Asst)
2024,18361,3,498,02,Kaylene Smikle,1,14,Allie Kubek,3PTR,5,37.0,33.0,14 Allie Kubek 3PTR GOOD (5 Pt); 02 Kaylene Smikle Assist (1 Asst)
2024,18361,3,458,14,Allie Kubek,1,02,Kaylene Smikle,LAYUP,13,39.0,33.0,02 Kaylene Smikle LAYUP GOOD (13 Pt); 14 Allie Kubek Assist (1 Asst)
2024,18361,3,412,01,Sarah Te-Biasu,2,06,Saylor Poffenbarger,3PTR,7,42.0,33.0,06 Saylor Poffenbarger 3PTR GOOD (7 Pt); 01 Sarah Te-Biasu Assist (2 Asst)
2024,18361,3,150,02,Kaylene Smikle,2,15,Christina Dalce,LAYUP,6,47.0,45.0,15 Christina Dalce LAYUP GOOD (6 Pt); 02 Kaylene Smikle Assist (2 Asst)
2024,18361,3,45,02,Kaylene Smikle,3,00,Shyanne Sellers,3PTR,10,50.0,47.0,00 Shyanne Sellers 3PTR GOOD (10 Pt); 02 Kaylene Smikle Assist (3 Asst)
2024,18361,4,430,02,Kaylene Smikle,4,00,Shyanne Sellers,JUMPER,12,52.0,54.0,00 Shyanne Sellers JUMPER GOOD (12 Pt); 02 Kaylene Smikle Assist (4 Asst)
2024,18361,4,316,02,Kaylene Smikle,5,01,Sarah Te-Biasu,3PTR,8,55.0,54.0,01 Sarah Te-Biasu 3PTR GOOD (8 Pt); 02 Kaylene Smikle Assist (5 Asst)
2024,18361,4,173,06,Saylor Poffenbarger,1,03,Emily Fisher,LAYUP,4,59.0,54.0,03 Emily Fisher LAYUP GOOD (4 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
2024,18289,1,489,06,Saylor Poffenbarger,1,02,Kaylene Smikle,LAYUP,2,4.0,3.0,02 Kaylene Smikle LAYUP GOOD (2 Pt); 06 Saylor Poffenbarger Assist (1 Asst)
2024,18289,1,444,06,Saylor Poffenbarger,2,01,Sarah Te-Biasu,3PTR,3,9.0,3.0,01 Sarah Te-Biasu 3PTR GOOD (3 Pt); 06 Saylor Poffenbarger Assist (2 Asst)
2024,18289,1,253,00,Shyanne Sellers,1,14,Allie Kubek,3PTR,4,16.0,7.0,14 Allie Kubek 3PTR GOOD (4 Pt); 00 Shyanne Sellers Assist (1 Asst)
2024,18289,1,214,00,Shyanne Sellers,2,15,Christina Dalce,LAYUP,2,18.0,10.0,15 Christina Dalce LAYUP GOOD (2 Pt); 00 Shyanne Sellers Assist (2 Asst)
2024,18289,2,387,00,Shyanne Sellers,3,14,Allie Kubek,LAYUP,8,29.0,19.0,14 Allie Kubek LAYUP GOOD (8 Pt); 00 Shyanne Sellers Assist (3 Asst)
2024,18289,2,346,14,Allie Kubek,1,02,Kaylene Smikle,LAYUP,8,31.0,21.0,02 Kaylene Smikle LAYUP GOOD (8 Pt); 14 Allie Kubek Assist (1 Asst)
2024,18289,2,221,10,Mir McLean,1,24,Bri McDaniel,LAYUP,4,39.0,21.0,24 Bri McDaniel LAYUP GOOD (4 Pt); 10 Mir McLean Assist (1 Asst)
2024,18289,2,138,24,Bri McDaniel,1,02,Kaylene Smikle,3PTR,11,44.0,21.0,02 Kaylene Smikle 3PTR GOOD (11 Pt); 24 Bri McDaniel Assist (1 Asst)
2024,18289,2,41,24,Bri McDaniel,2,02,Kaylene Smikle,3PTR,14,47.0,25.0,02 Kaylene Smikle 3PTR GOOD (14 Pt); 24 Bri McDaniel Assist (2 Asst)
2024,18289,3,336,24,Bri McDaniel,3,14,Allie Kubek,LAYUP,15,59.0,42.0,14 Allie Kubek LAYUP GOOD (15 Pt); 24 Bri McDaniel Assist (3 Asst)
2024,18289,3,235,00,Shyanne Sellers,4,02,Kaylene Smikle,3PTR,19,66.0,44.0,02 Kaylene Smikle 3PTR GOOD (19 Pt); 00 Shyanne Sellers Assist (4 Asst)
2024,18289,3,213,00,Shyanne Sellers,5,02,Kaylene Smikle,LAYUP,21,68.0,46.0,02 Kaylene Smikle LAYUP GOOD (21 Pt); 00 Shyanne Sellers Assist (5 Asst)
