"source_id","file_id","team","name","number","position","minutes","field_goals","fg_pct","three_pointers","three_pt_pct","free_throws","ft_pct","rebounds","assists","turnovers","steals","blocks","points","offensive_rebounds","defensive_rebounds","personal_fouls","technical_fouls","efficiency","usage_pct","points_per_minute","fgm","fga","tpm","tpa","ftm","fta","starter"
2019,11443,"James Madison","B. BELLERAND",5,"F",3,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0
2019,11443,"James Madison","R. TUCKER",21,"F",3,"0-1",0.0,"0-0",0.0,"0-0",0.0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,1,0,0,0,0,0
2019,11443,"James Madison","D. MERRITT",42,"F",10,"0-0",0.0,"0-0",0.0,"0-0",0.0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0,0,0,0,0,0,0
2019,11443,"Maryland","K. CHARLES",5,"G",29,"3-13",23.1,"0-0",0.0,"2-2",100.0,10,2,5,0,1,8,3,7,3,0,6.0,28.65,0.276,3,13,0,0,2,2,1
2019,11443,"Maryland","T. MIKESELL",11,"G",33,"4-10",40.0,"2-6",33.3,"0-0",0.0,2,1,1,2,1,10,0,2,1,0,9.0,14.67,0.303,4,10,2,6,0,0,1
2019,11443,"Maryland","D. MILLER",14,"G",12,"0-2",0.0,"0-1",0.0,"0-0",0.0,3,1,2,0,0,0,1,2,3,0,0.0,14.67,0.0,0,2,0,1,0,0,1
2019,11443,"Maryland","A. OWUSU",15,"G",28,"5-11",45.5,"1-3",33.3,"3-7",42.9,1,3,1,0,0,14,0,1,4,0,7.0,23.7,0.5,5,11,1,3,3,7,1
2019,11443,"Maryland","S. JONES",24,"F",22,"4-6",66.7,"0-0",0.0,"1-2",50.0,4,1,3,2,1,9,2,2,1,0,11.0,19.77,0.409,4,6,0,0,1,2,1
2019,11443,"Maryland","S. AUSTIN",1,"F",24,"9-13",69.2,"0-0",0.0,"2-7",28.6,3,0,4,1,0,20,0,3,5,0,11.0,36.82,0.833,9,13,0,0,2,7,0
2019,11443,"Maryland","F. MASONIUS",13,"F",13,"0-0",0.0,"0-0",0.0,"0-0",0.0,2,1,1,0,1,0,0,2,2,0,3.0,3.39,0.0,0,0,0,0,0,0,0
