source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2016,9671,2,403,05,Destiny Slocum,2,24,Stephanie Jones,LAYUP,2,24.0,25.0,24 Stephanie Jones LAYUP GOOD (4 Pt); 05 Destiny Slocum Assist (2 Asst)
2016,9671,2,76,01,Ieshia Small,2,32,S. Walker-Kimbrough,JUMPER,2,32.0,33.0,32 S. Walker-Kimbrough JUMPER GOOD (6 Pt); 01 Ieshia Small Assist (2 Asst)
2016,9671,3,573,32,S. Walker-Kimbrough,2,03,Kaila Charles,LAYUP,2,36.0,34.0,03 Kaila Charles LAYUP GOOD (6 Pt); 32 S. Walker-Kimbrough Assist (2 Asst)
2016,9671,3,495,01,Ieshia Small,3,42,Brionna Jones,JUMPER,2,38.0,36.0,42 Brionna Jones JUMPER GOOD (16 Pt); 01 Ieshia Small Assist (3 Asst)
2016,9671,3,60,01,Ieshia Small,4,03,Kaila Charles,LAYUP,2,51.0,50.0,03 Kaila Charles LAYUP GOOD (12 Pt); 01 Ieshia Small Assist (4 Asst)
2016,9671,4,444,32,S. Walker-Kimbrough,3,42,Brionna Jones,LAYUP,2,61.0,57.0,42 Brionna Jones LAYUP GOOD (18 Pt); 32 S. Walker-Kimbrough Assist (3 Asst)
2016,9671,4,147,22,Blair Watson,2,05,Destiny Slocum,3PTR,3,69.0,63.0,05 Destiny Slocum 3PTR GOOD (8 Pt); 22 Blair Watson Assist (2 Asst)
2016,9672,1,32,12,Kristen Confroy,1,05,Destiny Slocum,3PTR,3,24.0,20.0,05 Destiny Slocum 3PTR GOOD (3 Pt); 12 Kristen Confroy Assist (1 Asst)
2016,9672,2,544,32,S. Walker-Kimbrough,1,42,Brionna Jones,LAYUP,2,26.0,22.0,42 Brionna Jones LAYUP GOOD (8 Pt); 32 S. Walker-Kimbrough Assist (1 Asst)
2016,9672,2,428,05,Destiny Slocum,1,32,S. Walker-Kimbrough,JUMPER,2,26.0,28.0,32 S. Walker-Kimbrough JUMPER GOOD (12 Pt); 05 Destiny Slocum Assist (1 Asst)
2016,9672,2,390,32,S. Walker-Kimbrough,2,42,Brionna Jones,LAYUP,2,26.0,30.0,42 Brionna Jones LAYUP GOOD (10 Pt); 32 S. Walker-Kimbrough Assist (2 Asst)
