"opponent","season","file_id","date","location","is_home","maryland_score","opponent_score","result","margin"
"Indiana","2018-19","10062","1/27/2019","Bloomington, Ind. (Assembly Hall)",0,76,56,"W",20
"Wisconsin","2018-19","10063","1/31/2019","College Park, Md. (XFINITY Center)",1,75,57,"W",18
"Illinois","2018-19","10064","2/4/2019","Champaign, Ill. (State Farm Arena)",0,80,66,"W",14
"Northwestern","2018-19","10065","2/7/2019","College Park, Md. (XFINITY Center)",1,72,57,"W",15
"Rutgers","2018-19","10066","2/10/2019","Piscataway, N.J. (The RAC)",0,62,48,"W",14
"Nebraska","2018-19","10067","2/14/2019","College Park, Md. (XFINITY Center)",1,89,63,"W",26
"Iowa","2018-19","10068","2/17/2019","Iowa City, Iowa (Carver Hawkeye)",0,73,86,"L",-13
"Minnesota","2018-19","10069","2/21/2019","College Park, Md. (XFINITY Center)",1,71,69,"W",2
"Purdue","2018-19","10070","2/25/2019","West Lafayette, Ind. (Mackey Arena)",0,58,55,"W",3
"Illinois","2018-19","10071","3/2/2019","College Park, Md. (XFINITY Center)",1,71,62,"W",9
"Michigan State","2018-19","9910","3/8/2019","Indianapolis, IN (Bankers Life FH)",1,71,55,"W",16
"Michigan","2018-19","9911","3/9/2019","",1,73,72,"W",1
"Iowa","2018-19","9912","3/10/2019","Indianapolis, Ind. (Bankers Life FH)",1,76,90,"L",-14
"Radford","2018-19","9913","3/23/2019","College Park, Md. (XFINITY Center)",1,73,51,"W",22
"Ucla","2018-19","9914","3/25/2019","College Park, Md. (XFINITY Center)",1,80,85,"L",-5
"Wagner","2019-20","11441","11/5/2019","XFINITY Center",1,119,56,"W",63
"South Carolina","2019-20","11442","11/10/2019","XFINITY Center, College Park, MD",1,54,63,"L",-9
"James Madison","2019-20","11443","11/13/2019","JMU Convocation Center, Harrisonburg, VA",0,70,68,"W",2
"Delaware","2019-20","11444","11/17/2019","XFINITY Center, College Park, MD",1,99,55,"W",44
"George Washington","2019-20","11445","11/20/2019","XFINITY Center, College Park, MD",1,88,54,"W",34
"Quinnipiac","2019-20","11446","11/24/2019","XFINITY Center, College Park, MD",1,107,52,"W",55
"Clemson","2019-20","11447","11/29/2019","Daytona Beach, Fla. - Ocean Center",0,63,44,"W",19
"Belmont","2019-20","11448","11/30/2019","Daytona Beach, Fla. - Ocean Center",1,90,26,"W",64
"NC State","2019-20","11449","12/5/2019","Reynolds Coliseum, Raleigh, NC",0,59,66,"L",-7
"Loyola Maryland","2019-20","11450","12/8/2019","XFINITY Center, College Park, MD",1,105,45,"W",60
"Georgia St.","2019-20","11451","12/18/2019","GSU Sports Arena, Atlanta, GA",0,114,41,"W",73
"Michigan","2019-20","11716","12/28/2019","XFINITY Center, College Park, MD",1,70,55,"W",15
"Northwestern","2019-20","11717","12/31/2019","Welsh-Ryan Arena, Evanston, IL",0,58,81,"L",-23
"Ohio St.","2019-20","11718","1/6/2020","XFINITY Center, College Park, MD",1,72,62,"W",10
"Iowa","2019-20","11719","1/9/2020","Carver-Hawkeye Arena, Iowa City, IA",0,61,66,"L",-5
"Michigan","2019-20","11720","1/12/2020","Crisler Center, Ann Arbor, MI",0,77,49,"W",28
"Nebraska","2019-20","11721","1/16/2020","XFINITY Center, College Park, MD",1,87,69,"W",18
"Indiana","2019-20","11722","1/20/2020","XFINITY Center, College Park, MD",1,76,62,"W",14
"Illinois","2019-20","11723","1/23/2020","State Farm Center, Champaign, IL",0,79,60,"W",19
"Northwestern","2019-20","11724","1/26/2020","XFINITY Center, College Park, MD",1,70,61,"W",9
"Ohio St.","2019-20","11725","1/30/2020","Value City Arena, Columbus, OH",0,85,65,"W",20
"Michigan St.","2019-20","11726","2/3/2020","XFINITY Center, College Park, MD",1,94,53,"W",41
"Indiana","2019-20","11727","2/6/2020","Simon Skjodt Assembly Hall, Bloomington, IN",0,79,69,"W",10
"Rutgers","2019-20","11728","2/9/2020","XFINITY Center, College Park, MD",1,79,50,"W",29
"Iowa","2019-20","11729","2/13/2020","XFINITY Center, College Park, MD",1,93,59,"W",34
"Penn St.","2019-20","11730","2/16/2020","Bryce Jordan Center, PA",0,106,69,"W",37
"Wisconsin","2019-20","11731","2/19/2020","Kohl Center, Madison, WI",0,85,56,"W",29
"Purdue","2019-20","11732","2/25/2020","XFINITY Center, College Park, MD",1,88,45,"W",43
"Minnesota","2019-20","11733","3/1/2020","Williams Arena, Minneapolis, MN",0,99,44,"W",55
"Purdue","2019-20","11734","3/6/2020","",1,74,62,"W",12
"Indiana","2019-20","12071","3/7/2020","",1,66,51,"W",15
"Ohio St.","2019-20","12072","3/8/2020","",1,82,65,"W",17
"Davidson","2020-21","12076","11/27/2020","Alico Arena, Fort Myers, FL",0,94,72,"W",22
"Missouri St.","2020-21","12077","11/28/2020","Alico Arena, Fort Myers, FL",1,72,81,"L",-9
"Arkansas","2020-21","12078","11/29/2020","Alico Arena, Fort Myers, FL",0,115,96,"W",19
"Towson","2020-21","12079","12/3/2020","XFINITY Center, College Park, MD",1,112,78,"W",34
"Rutgers","2020-21","12109","12/14/2020","Rutgers Athletic Center, Piscataway, NJ",0,91,87,"W",4
"James Madison","2020-21","12137","12/19/2020","XFINITY Center, College Park, MD",1,101,59,"W",42
"Penn St.","2020-21","12111","12/31/2020","Bryce Jordan Center, PA",0,96,82,"W",14
"Indiana","2020-21","12112","1/4/2021","XFINITY Center, College Park, MD",1,84,80,"W",4
"Michigan St.","2020-21","12113","1/7/2021","Breslin Events Center, East Lansing, MI",0,93,87,"W",6
"Purdue","2020-21","12114","1/10/2021","XFINITY Center, College Park, MD",1,83,46,"W",37
"Minnesota","2020-21","12115","1/14/2021","Williams Arena, Minneapolis, MN",0,90,73,"W",17
"Wisconsin","2020-21","12116","1/17/2021","Kohl Center, Madison, WI",0,79,70,"W",9
"Ohio St.","2020-21","12118","1/25/2021","Value City Arena, Columbus, OH",0,86,88,"L",-2
"Michigan St.","2020-21","12122","1/28/2021","XFINITY Center, College Park, MD",1,92,52,"W",40
"Wisconsin","2020-21","12120","2/4/2021","XFINITY Center, College Park, MD",1,84,48,"W",36
"Nebraska","2020-21","12123","2/14/2021","Pinnacle Bank Arena, Lincoln, NE",0,95,73,"W",22
"Illinois","2020-21","12124","2/17/2021","XFINITY Center, College Park, MD",1,103,58,"W",45
"Minnesota","2020-21","12125","2/20/2021","XFINITY Center, College Park, MD",1,94,62,"W",32
"Iowa","2020-21","12117","2/23/2021","XFINITY Center, College Park, MD",1,111,93,"W",18
"Purdue","2020-21","12382","2/25/2021","Mackey Arena, West Lafayette, IN",0,88,59,"W",29
"Northwestern","2020-21","12127","2/28/2021","Welsh-Ryan Arena, Evanston, IL",0,62,50,"W",12
"Michigan","2020-21","12121","3/4/2021","Crisler Center, Ann Arbor, MI",0,88,63,"W",25
"Penn St.","2020-21","12128","3/6/2021","XFINITY Center, College Park, MD",1,88,61,"W",27
"Nebraska","2020-21","12129","3/11/2021","Bankers Life Fieldhouse, Indianapolis, IN",1,83,73,"W",10
"Northwestern","2020-21","12384","3/12/2021","Bankers Life Fieldhouse, Indianapolis, IN",1,85,52,"W",33
"Iowa","2020-21","12385","3/13/2021","Bankers Life Fieldhouse, Indianapolis, IN",1,104,84,"W",20
"Mount St. Mary's","2020-21","12130","3/22/2021","Alamodome, San Antonio, TX",1,98,45,"W",53
"Alabama","2020-21","12394","3/24/2021","Bill Greehey Arena, San Antonio, TX",1,100,64,"W",36
"Texas","2020-21","12131","3/28/2021","Alamodome, San Antonio, TX",1,61,64,"L",-3
"Longwood","2021-22","12548","11/9/2021","XFINITY Center, College Park, MD",1,97,67,"W",30
"Villanova","2021-22","12549","11/12/2021","XFINITY Center, College Park, MD",1,88,67,"W",21
"James Madison","2021-22","12550","11/14/2021","Atlantic Union Bank Center, Harrisonburg, VA",0,81,45,"W",36
"Mount St. Mary's","2021-22","12551","11/16/2021","XFINITY Center, College Park, MD",1,98,57,"W",41
"Uncw","2021-22","12552","11/18/2021","XFINITY Center, College Park, MD",1,108,66,"W",42
"Baylor","2021-22","12553","11/21/2021","XFINITY Center, College Park, MD",1,79,76,"W",3
"NC State","2021-22","12546","11/25/2021","Baha Mar Convention Center, Nassau, Bahamas",0,60,78,"L",-18
"Stanford","2021-22","12547","11/27/2021","Baha Mar Convention Center, Nassau, Bahamas",1,68,86,"L",-18
"Miami (FL)","2021-22","12584","12/2/2021","XFINITY Center, College Park, MD",1,82,74,"W",8
"Rutgers","2021-22","12647","12/5/2021","Jersey Mike's Arena, Piscataway, NJ",0,73,59,"W",14
"Purdue","2021-22","12648","12/8/2021","XFINITY Center, College Park, MD",1,86,71,"W",15
"South Carolina","2021-22","12554","12/12/2021","Colonial Life Arena, Columbia, SC",0,59,66,"L",-7
"Coppin St.","2021-22","12555","12/21/2021","Physical Education Complex, Baltimore, MD",0,98,52,"W",46
"Indiana","2021-22","12650","1/2/2022","Simon Skjodt Assembly Hall, Bloomington, IN",0,63,70,"L",-7
"Penn St.","2021-22","12651","1/6/2022","XFINITY Center, College Park, MD",1,106,78,"W",28
"Minnesota","2021-22","12652","1/9/2022","Williams Arena, Minneapolis, MN",0,87,73,"W",14
"Michigan","2021-22","12653","1/16/2022","XFINITY Center, College Park, MD",1,49,69,"L",-20
"Ohio St.","2021-22","12654","1/20/2022","Value City Arena, Columbus, OH",0,89,95,"L",-6
"Northwestern","2021-22","12655","1/23/2022","XFINITY Center, College Park, MD",1,87,59,"W",28
"Rutgers","2021-22","12656","1/27/2022","XFINITY Center, College Park, MD",1,72,55,"W",17
"Penn St.","2021-22","12657","1/30/2022","Bryce Jordan Center, State College, PA",0,82,71,"W",11
"Michigan St.","2021-22","12658","2/3/2022","Breslin Events Center, East Lansing, MI",0,67,62,"W",5
"Nebraska","2021-22","12659","2/6/2022","XFINITY Center, College Park, MD",1,80,65,"W",15
"Wisconsin","2021-22","12660","2/9/2022","XFINITY Center, College Park, MD",1,70,43,"W",27
"Iowa","2021-22","12661","2/14/2022","Carver-Hawkeye Arena , Iowa City, IA",0,81,69,"W",12
"Ohio St.","2021-22","12662","2/17/2022","XFINITY Center, College Park, MD",1,77,72,"W",5
"Michigan","2021-22","12663","2/20/2022","Crisler Center, Ann Arbor, MI",0,59,71,"L",-12
"Indiana","2021-22","12664","2/25/2022","XFINITY Center, College Park, MD",1,67,64,"W",3
"Indiana","2021-22","12966","3/4/2022","Gainbridge Fieldhouse, Indianapolis, IN",1,51,62,"L",-11
"Delaware","2021-22","12706","3/18/2022","XFINITY Center, College Park, MD",1,102,71,"W",31
"Fgcu","2021-22","12970","3/20/2022","XFINITY Center, College Park, MD",1,89,65,"W",24
