"source_id","file_id","period","time_remaining","seconds_elapsed","team","player_name","player_number","trip_size","made","missed","trip_result","first_attempt_made","margin_before","clutch","trip_context"
"2018-19","9910",3,64,1736,"Michigan State","Jenna Allen",33,2,2,0,"2/2",1,-19,0,""
"2018-19","9910",4,554,1846,"Michigan State","Mardrekia Cook",2,2,1,1,"1/2",1,-22,0,""
"2018-19","9910",4,392,2008,"Michigan State","Shay Colley",0,2,0,2,"0/2",0,-21,0,""
"2018-19","9910",4,158,2242,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,23,0,""
"2018-19","9910",4,72,2328,"Michigan State","Nia Clouden",24,2,2,0,"2/2",1,-20,0,""
"2018-19","9911",1,297,303,"Maryland","Brianna Fraser",34,1,1,0,"1/1",1,2,0,"and_one"
"2018-19","9911",1,240,360,"Michigan","Kayla Robbins",5,2,2,0,"2/2",1,-5,0,""
"2018-19","9911",1,144,456,"Maryland","Stephanie Jones",24,2,1,1,"1/2",0,3,0,""
"2018-19","9911",1,78,522,"Michigan","Hallie Thome",30,2,2,0,"2/2",1,-4,0,""
"2018-19","9911",1,5,595,"Michigan","Amy Dilk",1,2,2,0,"2/2",1,-4,0,""
"2018-19","9911",2,498,702,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,6,0,""
"2018-19","9911",2,414,786,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,3,0,""
"2018-19","9911",2,371,829,"Michigan","Akienreh Johnson",14,2,2,0,"2/2",1,-3,0,""
"2018-19","9911",2,246,954,"Maryland","Kaila Charles",5,2,1,1,"1/2",0,1,0,""
"2018-19","9911",2,8,1192,"Michigan","Akienreh Johnson",14,2,1,1,"1/2",1,2,0,""
"2018-19","9911",3,575,1225,"Maryland","Kaila Charles",5,1,1,0,"1/1",1,-4,0,"and_one"
"2018-19","9911",3,547,1253,"Maryland","Stephanie Jones",24,1,1,0,"1/1",1,-4,0,"and_one"
"2018-19","9911",3,433,1367,"Michigan","Nicole Munger",10,2,2,0,"2/2",1,-2,0,""
"2018-19","9911",3,94,1706,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,3,0,""
"2018-19","9911",4,495,1905,"Maryland","Stephanie Jones",24,1,0,1,"0/1",0,8,0,"and_one"
"2018-19","9911",4,465,1935,"Michigan","Nicole Munger",10,2,1,1,"1/2",1,-8,0,""
"2018-19","9911",4,153,2247,"Michigan","Naz Hillmon",0,2,2,0,"2/2",1,-4,1,""
"2018-19","9911",4,10,2390,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,-1,1,""
"2018-19","9912",1,497,103,"Iowa","Megan Gustafson",10,2,2,0,"2/2",1,-5,0,""
"2018-19","9912",1,337,263,"Iowa","Megan Gustafson",10,1,1,0,"1/1",1,6,0,"and_one"
"2018-19","9912",1,7,593,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,-10,0,""
"2018-19","9912",2,497,703,"Iowa","Megan Gustafson",10,2,2,0,"2/2",1,12,0,""
"2018-19","9912",2,491,709,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,-14,0,""
"2018-19","9912",2,417,783,"Maryland","Taylor Mikesell",11,2,2,0,"2/2",1,-8,0,""
"2018-19","9912",2,345,855,"Iowa","Tania Davis",11,2,1,1,"1/2",1,8,0,""
"2018-19","9912",2,303,897,"Iowa","Megan Gustafson",10,1,0,1,"0/1",0,11,0,"and_one"
"2018-19","9912",2,263,937,"Iowa","Megan Gustafson",10,2,1,1,"1/2",0,9,0,""
"2018-19","9912",2,247,953,"Maryland","Kaila Charles",5,2,2,0,"2/2",1,-10,0,""
"2018-19","9912",2,73,1127,"Iowa","Tania Davis",11,2,2,0,"2/2",1,7,0,""
"2018-19","9912",3,545,1255,"Iowa","Megan Gustafson",10,2,2,0,"2/2",1,6,0,""
"2018-19","9912",3,441,1359,"Maryland","Kaila Charles",5,1,0,1,"0/1",0,0,0,"and_one"
"2018-19","9912",3,370,1430,"Iowa","Kathleen Doyle",22,2,2,0,"2/2",1,2,0,""
"2018-19","9912",3,357,1443,"Maryland","Brianna Fraser",34,2,1,1,"1/2",1,-4,0,""
"2018-19","9912",3,252,1548,"Iowa","Megan Gustafson",10,2,2,0,"2/2",1,1,0,""
"2018-19","9912",4,386,2014,"Iowa","Megan Gustafson",10,2,1,1,"1/2",1,14,0,""
"2018-19","9912",4,325,2075,"Maryland","Channise Lewis",3,2,1,1,"1/2",0,-15,0,""
"2018-19","9912",4,233,2167,"Iowa","Makenzie Meyer",3,2,1,1,"1/2",1,14,0,""
"2018-19","9912",4,163,2237,"Maryland","Shakira Austin",1,2,2,0,"2/2",1,-13,0,""
"2018-19","9912",4,152,2248,"Iowa","Tania Davis",11,2,2,0,"2/2",1,11,0,""
"2018-19","9912",4,139,2261,"Iowa","Hannah Stewart",21,2,2,0,"2/2",1,13,0,""
"2018-19","9912",4,127,2273,"Maryland","Brianna Fraser",34,2,1,1,"1/2",0,-15,0,""
"2018-19","9912",4,89,2311,"Iowa","Tania Davis",11,2,2,0,"2/2",1,12,0,""
"2018-19","9912",4,35,2365,"Iowa","Tania Davis",11,2,2,0,"2/2",1,12,0,""
"2018-19","9913",1,511,89,"Maryland","Shakira Austin",1,2,0,2,"0/2",0,0,0,""
"2018-19","9913",1,349,251,"Radford","Lydia Rivers",20,2,2,0,"2/2",1,-8,0,""
"2018-19","9913",1,275,325,"Radford","Destinee Walker",10,2,0,2,"0/2",0,-12,0,""
"2018-19","9913",2,218,982,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,6,0,""
"2018-19","9913",3,571,1229,"Radford","Lydia Rivers",20,2,1,1,"1/2",0,-13,0,""
"2018-19","9913",3,513,1287,"Radford","Sydney Nunley",50,2,1,1,"1/2",0,-16,0,""
"2018-19","9913",3,149,1651,"Maryland","Shakira Austin",1,1,1,0,"1/1",1,17,0,"and_one"
"2018-19","9913",4,589,1811,"Maryland","Shakira Austin",1,2,1,1,"1/2",1,23,0,""
"2018-19","9913",4,457,1943,"Radford","Destinee Walker",10,2,1,1,"1/2",0,-22,0,""
"2018-19","9913",4,370,2030,"Radford","Khiana Johnson",4,2,1,1,"1/2",0,-23,0,""
