source_id,file_id,period,time_remaining,assister_number,assister_name,assister_assist_count,scorer_number,scorer_name,shot_type,points,home_score,visiting_score,narrative
2022,13139,2,131,05,Brinae Alexander,1,00,Shyanne Sellers,3PTR,3,25.0,35.0,00 Shyanne Sellers 3PTR GOOD (3 Pt); 05 Brinae Alexander Assist (1 Asst)
2022,13139,3,330,01,Diamond Miller,2,12,Elisa Pinzan,3PTR,3,35.0,42.0,12 Elisa Pinzan 3PTR GOOD (8 Pt); 01 Diamond Miller Assist (2 Asst)
2022,13139,3,229,30,Lavender Briggs,2,13,Faith Masonius,LAYUP,2,37.0,44.0,13 Faith Masonius LAYUP GOOD (5 Pt); 30 Lavender Briggs Assist (2 Asst)
2022,13139,3,44,01,Diamond Miller,3,11,Gia Cooke,LAYUP,2,45.0,44.0,11 Gia Cooke LAYUP GOOD (8 Pt); 01 Diamond Miller Assist (3 Asst)
2022,13139,4,437,00,Shyanne Sellers,1,13,Faith Masonius,LAYUP,2,54.0,52.0,13 Faith Masonius LAYUP GOOD (10 Pt); 00 Shyanne Sellers Assist (1 Asst)
2022,13139,4,403,13,Faith Masonius,1,10,Abby Meyers,JUMPER,2,56.0,55.0,10 Abby Meyers JUMPER GOOD (7 Pt); 13 Faith Masonius Assist (1 Asst)
2022,13139,4,29,05,Brinae Alexander,2,10,Abby Meyers,3PTR,3,67.0,73.0,10 Abby Meyers 3PTR GOOD (10 Pt); 05 Brinae Alexander Assist (2 Asst)
2022,13140,1,223,10,Abby Meyers,1,00,Shyanne Sellers,JUMPER,2,8.0,8.0,00 Shyanne Sellers JUMPER GOOD (6 Pt); 10 Abby Meyers Assist (1 Asst)
2022,13140,1,68,10,Abby Meyers,2,03,Lavender Briggs,JUMPER,2,10.0,14.0,03 Lavender Briggs JUMPER GOOD (2 Pt); 10 Abby Meyers Assist (2 Asst)
2022,13140,2,538,13,Faith Masonius,1,10,Abby Meyers,JUMPER,2,15.0,18.0,10 Abby Meyers JUMPER GOOD (2 Pt); 13 Faith Masonius Assist (1 Asst)
2022,13140,2,511,10,Abby Meyers,3,03,Lavender Briggs,3PTR,3,15.0,21.0,03 Lavender Briggs 3PTR GOOD (5 Pt); 10 Abby Meyers Assist (3 Asst)
2022,13140,2,379,01,Diamond Miller,1,12,Elisa Pinzan,LAYUP,2,18.0,25.0,12 Elisa Pinzan LAYUP GOOD (2 Pt); 01 Diamond Miller Assist (1 Asst)
2022,13140,3,466,00,Shyanne Sellers,1,03,Lavender Briggs,3PTR,3,37.0,38.0,03 Lavender Briggs 3PTR GOOD (8 Pt); 00 Shyanne Sellers Assist (1 Asst)
2022,13140,3,415,01,Diamond Miller,2,00,Shyanne Sellers,JUMPER,2,39.0,40.0,00 Shyanne Sellers JUMPER GOOD (12 Pt); 01 Diamond Miller Assist (2 Asst)
2022,13140,3,129,01,Diamond Miller,3,13,Faith Masonius,JUMPER,2,50.0,50.0,13 Faith Masonius JUMPER GOOD (2 Pt); 01 Diamond Miller Assist (3 Asst)
2022,13140,4,333,01,Diamond Miller,4,05,Brinae Alexander,3PTR,3,61.0,60.0,05 Brinae Alexander 3PTR GOOD (5 Pt); 01 Diamond Miller Assist (4 Asst)
2022,13140,4,315,01,Diamond Miller,5,00,Shyanne Sellers,LAYUP,2,61.0,62.0,00 Shyanne Sellers LAYUP GOOD (17 Pt); 01 Diamond Miller Assist (5 Asst)
2022,13140,4,249,00,Shyanne Sellers,2,05,Brinae Alexander,3PTR,3,63.0,65.0,05 Brinae Alexander 3PTR GOOD (8 Pt); 00 Shyanne Sellers Assist (2 Asst)
2022,13141,1,581,00,Shyanne Sellers,1,10,Abby Meyers,JUMPER,2,2.0,0.0,10 Abby Meyers JUMPER GOOD (2 Pt); 00 Shyanne Sellers Assist (1 Asst)
2022,13141,1,385,03,Lavender Briggs,1,05,Brinae Alexander,3PTR,3,7.0,7.0,05 Brinae Alexander 3PTR GOOD (3 Pt); 03 Lavender Briggs Assist (1 Asst)
2022,13141,1,150,12,Elisa Pinzan,1,00,Shyanne Sellers,JUMPER,2,11.0,15.0,00 Shyanne Sellers JUMPER GOOD (6 Pt); 12 Elisa Pinzan Assist (1 Asst)
2022,13141,2,360,01,Diamond Miller,1,00,Shyanne Sellers,3PTR,3,24.0,23.0,00 Shyanne Sellers 3PTR GOOD (9 Pt); 01 Diamond Miller Assist (1 Asst)
2022,13141,2,336,01,Diamond Miller,2,10,Abby Meyers,3PTR,3,27.0,23.0,10 Abby Meyers 3PTR GOOD (7 Pt); 01 Diamond Miller Assist (2 Asst)
2022,13141,2,293,00,Shyanne Sellers,2,10,Abby Meyers,3PTR,3,30.0,25.0,10 Abby Meyers 3PTR GOOD (10 Pt); 00 Shyanne Sellers Assist (2 Asst)
2022,13141,2,204,05,Brinae Alexander,1,10,Abby Meyers,3PTR,3,35.0,30.0,10 Abby Meyers 3PTR GOOD (15 Pt); 05 Brinae Alexander Assist (1 Asst)
2022,13141,2,140,00,Shyanne Sellers,3,05,Brinae Alexander,JUMPER,2,37.0,32.0,05 Brinae Alexander JUMPER GOOD (5 Pt); 00 Shyanne Sellers Assist (3 Asst)
2022,13141,2,73,10,Abby Meyers,1,12,Elisa Pinzan,3PTR,3,40.0,34.0,12 Elisa Pinzan 3PTR GOOD (3 Pt); 10 Abby Meyers Assist (1 Asst)
